Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Nyishi,India,IND,Vulnerable,170000.0,27.5277,93.0981,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kodagu,India,IND,Definitely endangered,166187.0,11.6952,75.9375,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Rabha,India,IND,Vulnerable,150000.0,25.9284,90.9777,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Tangkhul,India,IND,Vulnerable,142000.0,25.0358,94.4824,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Badaga,India,IND,Definitely endangered,134514.0,11.3642,76.5266,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Angami,India,IND,Vulnerable,132000.0,25.7553,94.1308,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Chambeali,India,IND,Definitely endangered,126589.0,32.9072,76.5307,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Phom,India,IND,Vulnerable,123000.0,26.7799,94.9493,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kolami,India,IND,Definitely endangered,121855.0,20.5093,78.1787,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Konda,India,IND,Definitely endangered,118597.0,18.2763,82.9385,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Jaunsari,India,IND,Definitely endangered,114733.0,30.4859,78.0908,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Dimasa,India,IND,Vulnerable,112000.0,24.7368,92.9003,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Simi,India,IND,Vulnerable,104000.0,25.9777,94.5922,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kabui,India,IND,Vulnerable,95000.0,24.7218,93.6584,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Yimchungru,India,IND,Vulnerable,92000.0,25.9629,94.9713,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
