Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,GDP Average (Current US $)
EAR,152235011513.736,152938752582.178,157958156106.651,167418727420.965,192193491188.626,208476881967.401,205740031371.67603,216205943518.108,234150299585.565,261463230026.004,278130230681.508,300200752389.367,330007310102.283,422049529596.894,591844316404.3829,634623205894.8411,692147230220.166,773413686556.8291,856676517125.028,1042168102703.0,1295811886770.34,1447776356211.48,1380296032999.35,1389610961662.87,1387349809922.6,1421709588407.72,1436513453593.25,1446302750399.98,1544208611058.62,1575728163616.31,1814815462400.96,1923744090332.02,2111055562542.94,2312506713827.22,2424065666297.26,2489291020837.96,2711121867888.18,2899613239334.53,2865598571230.69,3032273459149.77,3289051893099.14,3256607356288.54,3162015199820.99,3516507116272.96,4085431153496.94,4761736820655.88,5450773903116.34,6471529124525.86,7295858850769.64,7019441790267.02,8527822449104.14,9582292843929.25,10044524034458.6,10229631406072.6,10579531046172.6,10262511922399.0,10478469295415.3,11289478472218.9,3 Trillion
EAS,153255031496.205,153702816812.888,157264942702.745,175490937459.59198,201627365438.47897,224572107508.042,251075817325.862,272048360041.124,299751545413.135,345286659737.965,407448113935.188,452922460788.595,562287562931.259,741052948014.144,853025304645.479,933965123527.005,1026616696431.94,1223802244637.67,1544703487325.58,1677049489114.22,1812450463556.6,1997858339002.01,1958114135557.99,2084169643595.97,2232679187279.22,2356362287949.02,3079768614706.97,3616616967357.56,4351892317593.5,4531535274988.84,4732430623132.27,5343157171844.7,5837733519892.67,6528972499125.52,7301095686491.17,8296163028866.83,7992437718146.01,7647564270578.45,6856965806224.51,7655592795143.31,8280879009022.68,7701923356093.82,7824325462050.88,8601705923995.76,9646251735892.97,10293017369858.1,10916256060868.1,12209518224988.3,14101958942749.5,14531227663501.0,16943268044133.5,19647940619348.0,21031417537881.9,21275177777578.7,21914183151602.1,21795245264442.9,22511544018858.2,23996456162788.6,7 Trillion
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877997184497.8871,933135736552.354,900283847033.042,828648366237.338,814166943495.58,706906130217.5071,754741207060.197,764289144700.2529,796407399301.011,746828143144.302,627072450600.464,698128647956.78,693538586361.136,793403929147.35,1002023182718.78,1326184919523.89,1680592061816.2,2063278706026.63,2671275016108.22,3307101106404.06,2599285122499.55,3096286598322.38,3827730416313.97,4054083751455.33,4310653102525.82,4021999346982.25,3074851737103.9,2944402616015.28,3302378754265.41,2 Trillion
ECS,432960035890.411,460877888110.046,503867243154.67896,555620961265.8679,615307535795.428,669560989863.63,727410591672.6179,782628462661.783,816238709275.4309,896147490610.967,1007328488150.02,1136011087389.29,1361204251039.41,1728895381094.93,1953513144060.33,2282188386052.36,2372221991556.51,2688444252232.78,3281371270466.13,4014355605669.58,4547065933618.14,4047072721771.13,3899844614023.94,3783146604827.58,3636058606892.52,3763003308298.15,5135685148112.71,6345984542052.65,7064293721553.78,7220975158504.82,8833504893235.43,9113633064785.52,9774338579948.08,8982248300935.37,9394654294184.45,10836510280604.0,11064221113128.4,10498481418247.5,10758564619858.2,10635412628085.2,10018778713285.6,10116396135506.2,11067619137419.2,13480720524827.3,15714541903434.1,16739587605251.8,18120782390532.6,21175225512210.7,23242064025441.6,20445992796934.1,20920601404656.3,23180278607537.6,22342893777522.8,23351858469339.8,23659400851557.1,20373896284736.6,20283925294721.9,21444091703392.5,9 Trillion
ECU,2069465326.41882,1753850416.70826,1518208221.23052,1824344492.0716898,2244146867.90195,2387048255.4517303,2429309513.80854,2553596091.82258,2582180794.1855,3112166848.3004,2862504169.99893,2754220263.02528,3185987234.84089,3891755551.9413795,6599259420.99605,7731677256.80982,9091924304.83477,11026346589.5011,11922502170.6405,14175166007.5774,17881514682.8784,21810767209.3695,19929853574.6095,17152483214.3536,16912515183.2783,17149094589.9827,15314143988.0621,13945431882.2271,13051886552.3377,13890828707.6493,15239278100.3502,16988535267.6338,18094238119.0595,18938717358.6793,22708673336.6683,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,28 Billion
EGY,,,,,,4948667540.41066,5278005611.91453,5605484298.98275,5932242990.65421,6524455205.81114,8042200452.1477,8609283346.08518,9299638055.84281,10098534613.4411,9228963224.60004,11632178868.9171,13315988083.4161,14400806875.9867,14811704063.0685,18020571428.5714,22912500555.5556,22136081081.0811,27655172413.7931,30966239813.7369,33971188991.6147,39053502251.0732,41253507951.3564,40455616653.5742,34980124929.0176,39756299049.9793,42978914311.3504,37387836490.5284,41855986519.4235,46578631452.58099,51897983392.6453,60159245060.4542,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,97632008709.85301,87850683978.6691,82924503942.6381,78845185293.4964,89685725230.2517,107484034870.974,130478960092.49901,162818181818.182,188982374700.805,218888324504.75302,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332927833278.038,235369129337.71103,84 Billion
EMU,245481152600.258,270209596053.149,299861455913.02,336397334728.094,374149848279.27795,408271420849.315,445206414755.086,483621863460.40295,518457026371.96295,572746053204.913,641007673270.636,726492980412.078,877638384525.9929,1139338580878.21,1292029213750.34,1498226074315.09,1563537135583.98,1778408509993.97,2177728856358.55,2638073833601.75,2954708802963.05,2567963130906.94,2486193409543.96,2425389799777.86,2326467347259.68,2390171413849.06,3354402740001.17,4148857521558.88,4562994096888.36,4661028240479.34,5865987333446.54,6098676235121.56,6728126732337.3,6161852116427.72,6508354414953.12,7512010529298.88,7603815087836.91,6952089881217.69,7143819895898.36,7111848937999.89,6480938576671.83,6587710505265.96,7167764806807.17,8843899430025.93,10144388626439.9,10528797390023.1,11179264283534.8,12873496328859.0,14113093992011.1,12904996282315.9,12641025254256.9,13622017842135.8,12641928622059.2,13193290272489.4,13478913497853.3,11667268254660.3,11935033021358.0,12589879981668.0,6 Trillion
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477101651.648376,467872714.755603,531688311.688312,578015625.0,693535954.1900669,686490090.140141,745526154.93283,688921325.7120429,706370815.584416,752368495.512622,729321366.6518611,870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800.0,1856695551.21951,2117039512.1951199,2607739837.39837,,,,,,,1 Billion
ESP,12072126075.397,13834300571.4849,16138545209.246,19074913947.7196,21343844643.7341,24756958694.9238,28721062242.1634,31647119228.1982,31475548481.4095,36038711599.541,40881655098.6451,46492797365.2695,58971806626.9739,78425934894.3461,97009800115.3735,114465300289.855,118185307386.22198,132089531434.83,160163483072.917,214019077342.588,232134606637.27103,202257045774.013,195464408602.151,170486866357.309,171635463361.62302,180302412230.92,250638463466.793,317882187036.787,375138723325.239,413630538018.271,535101248775.71,575598537069.656,629202392003.901,523649481762.322,529121577319.58795,612939685081.398,640998292394.588,588692045454.545,617041986858.225,633194118900.49,595402616546.895,625975838926.175,705145868624.13,906853273137.698,1069555500372.49,1157276458151.97,1264551499184.54,1479341637010.68,1635015380108.39,1499099749930.54,1431616749640.29,1488067258325.2,1336018949805.58,1361854206549.39,1376910811040.88,1197789902774.43,1237255019653.86,1311320015515.99,541 Billion
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4373665145.55468,4746109767.1999,5066240419.29666,5617109244.63233,5726897998.29642,5685774808.80862,6245069734.13302,7322069511.161341,9833870709.12376,12059201242.236,14006088297.4754,16963625015.6818,22237061730.0849,24194039255.8957,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26224622450.8302,22566956982.229,23337907618.5174,25921079612.3337,15 Billion
ETH,,,,,,,,,,,,,,,,,,,,,,7324903188.4058,7707678019.32367,8567890821.256041,8096302367.149759,9480840483.091791,9848600869.56522,10527338647.343,10908935748.7923,11476584879.2271,12175166763.285,13463868357.4879,10492993077.6093,8830712713.90781,6927950564.55657,7663984567.90123,8547939730.62374,8589211390.49612,7818224905.55071,7700833482.00615,8242392103.68061,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,73000980433.9486,80561496133.9172,20 Billion
EUU,359029350066.594,390887185571.95703,427014859941.736,470414602361.42896,521327909675.85205,567732334752.9039,615437642454.823,661332176327.7471,687385445263.234,754985025857.852,854806915512.5441,966894955325.718,1157617091049.88,1469889416914.14,1652067409914.73,1925962270306.75,1994811428265.08,2259060971269.01,2768458233840.72,3381001765589.42,3859034711447.52,3414523531489.45,3286230667939.45,3185259317540.08,3058273636345.08,3160727248641.78,4333946163920.18,5362160080743.38,5981271247674.35,6107076641886.57,7573007343262.65,7859431841870.38,8563867521160.72,7808203731232.02,8291508715136.05,9617733023197.24,9832903149626.81,9281645253149.53,9598122886276.41,9583143300129.23,8906062201757.0,9003877592461.26,9816362222068.71,11949482161067.0,13798051427969.8,14433131405635.5,15398339921434.8,17793676181321.5,19137006643248.3,17102541287761.0,16986909515357.4,18349552365225.9,17292208081934.1,18028906567564.8,18635887171535.5,16416319932320.0,16493732605955.8,17281870755987.3,7 Trillion
FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217556592771.691,199671127227.553,191895039998.007,217917290105.392,252914362369.721,307258061329.075,363625141293.063,447126946198.225,578396926800.495,541286458424.60205,644646998633.361,708631770603.245,816296451885.723,851363110898.7959,860906213079.7479,781966692278.9241,747106470807.938,822637672949.2471,531 Billion
FIN,5224102195.52771,5921659485.03284,6340580854.39073,6885920328.66187,7766655085.78588,8589340019.02985,9208524504.87684,9368954010.3132,8823033880.32993,10070766720.5011,11365953567.3839,12536710287.0134,14754136507.0261,19486826979.9284,24867278714.3532,29494515597.22,31873171718.726,33524682307.8058,36283091407.9422,44498283620.8213,53685049410.2646,52485533204.7396,52832120389.7866,51014090520.9223,52926394934.7052,55914236377.5902,73586676049.7302,91642093872.5822,109103056147.83199,119064708327.56,141517648888.198,127866490222.026,112625431377.754,89255751014.885,103321570859.419,134199346405.229,132099404607.81801,126833123353.56801,133936359590.565,135225868314.511,125539893126.95801,129250111856.82301,139552983248.635,171071106094.808,196768065557.487,204436015420.96802,216552502822.732,255384615384.615,283742493042.332,251499027507.64102,247799815768.477,273674236772.815,256706466091.089,269980111642.898,272609288689.575,232464833065.554,238677672281.61102,251884887972.76602,109 Billion
FJI,112328422.113084,116987784.913739,122906434.957814,129454728.623599,140032741.468329,147084750.031482,150603925.51585302,162625885.863484,166952937.135005,182182067.70356798,219878482.173564,247749327.72126698,316650508.967523,425963359.355326,558589870.903674,684268280.8127509,694552411.718837,719533137.126662,829239489.8441191,1019743927.2466199,1202567359.4132,1235899836.18067,1194015444.01544,1123107276.30285,1177997413.63384,1141210124.82663,1290228616.82408,1177908191.97685,1109976927.9172199,1182686577.22645,1337024782.22702,1383843860.1247,1531803060.5455801,1635426125.3080802,1825285158.11762,1970347720.96992,2129266728.42585,2093994597.2154899,1656784779.545,1942170999.18765,1684109743.49338,1660102345.60309,1842691481.0919602,2315935752.71653,2727507212.92556,3006725014.78415,3102741451.0166397,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.5346704,4190143206.25611,4483416339.9385395,4362128146.45309,4671313314.555779,5061202767.42948,2 Billion
FRA,62651474946.6007,68346741504.4257,76313782251.6964,85551113767.3727,94906593388.3107,102160571409.274,110597467198.645,119466139619.589,129847107787.88301,140725497222.27698,148456359985.827,165966615366.40198,203494148244.47302,264429876252.21,285552373158.75604,360832186018.051,372319038514.067,410279486493.715,506707848837.209,613953129818.07,701288419745.421,615552202776.1011,584877732308.614,559869179791.72,530683779929.445,553138414367.061,771470783218.1079,934173305685.9109,1018847043277.17,1025211803413.53,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694.0,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1492647560196.04,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2465134297438.91,2582501307216.42,1 Trillion
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105688872.97039,1125684470.05533,1062339943.83343,1154899793.3387802,1268445919.41429,1486861878.95624,1683997930.2632198,1730894295.38595,1970135198.76236,2278229880.41222,2413251995.84159,2257083698.63269,2301168186.90991,2468754074.54319,2356495468.27795,2613464380.4640102,2810547884.18708,2476746087.18917,,,2 Billion
FSM,,,,,,,,,,,,,,,,,,,,,,,,106500000.0,,,112210000.0,116700000.0,124700000.0,135200000.0,147200000.0,166200000.0,178100000.0,198400000.0,202500000.0,222103600.0,218845700.0,206900300.0,219646200.0,220660500.0,233226300.0,240051900.0,241543400.0,245277400.0,240097000.0,250149400.0,253372300.0,256548100.0,262868600.0,279966700.0,296525300.0,310502100.0,326128700.0,316040600.0,317999400.0,315179700.0,329895600.0,336427500.0,231 Million
GAB,141468977.570007,167637907.381696,182796536.499917,154480244.246828,215679855.272553,226474285.587116,245849781.715943,271543680.279265,294468564.534311,318124701.048993,323802475.48102903,381687073.058602,430508357.72400004,722780701.123338,1544216003.98425,2157592936.6073103,3009409970.90463,2809349074.17711,2389479269.18832,3030251116.35966,4279637933.8513603,3862269126.9268103,3618007844.4490795,3391275731.3185897,3561451562.23576,3339914759.37275,3403638193.57905,3281797038.6656604,3834503378.3549705,4186411457.4569397,5952293765.84468,5402919956.938311,5592390848.52648,4378645081.01769,4190819314.0295796,4958845906.34769,5694040336.82571,5326816858.99586,4483417119.83928,4662992036.2073,5067865320.7979,5018874179.187039,5310381151.35952,6497305662.09274,7756293574.98077,9578973591.00958,10318424464.3377,12438956756.4455,15508574820.3516,12065138272.7538,14358584300.3006,18186478119.9582,17171447372.3334,17590745162.1326,18179752009.7489,14377324797.637,14014369641.7689,15013950984.084,6 Billion
GBR,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.05699,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.19104,564947710899.3729,540765675241.15796,515048916841.37,489618008185.539,461487097632.349,489285164271.04706,601452653180.885,745162608269.325,910122732123.7991,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2650850178102.14,2622433959604.16,1 Trillion
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753501867.76095,6357615894.03974,3690328963.64086,2701181331.3081603,2513870586.73344,2693731865.9703603,3094915511.40755,3510540843.5830603,3613500133.0417295,2800024337.52473,3057453467.55136,3219487751.95539,3395739836.96871,3991281531.13947,5125362833.31629,6410847045.01065,7745401717.71248,10172869673.5843,12795044475.201,10766809096.1694,11638536861.8315,14434619972.4072,15846474597.7447,16140047041.6347,16509305828.9648,13993546747.7492,14378016729.1587,15081338092.2875,8 Billion
GHA,1217230038.2678099,1302674264.19915,1382515590.0694199,1540797516.7946901,1731296118.87113,2053462872.38275,2126300573.17668,1747187539.20717,1666910166.289,1962051319.26134,2215029450.3805,2417107708.25317,2112292944.64142,2465492957.74648,2894409937.8882,2810106382.9787197,2765254237.28814,3189428571.42857,3662478184.9912705,4020227920.2279205,4445228215.76763,4222441614.9743204,4035994397.7591,4057275042.8290296,4412279843.44423,4504342149.4347105,5727602644.714721,5074829931.97279,5197840979.13416,5251764264.268021,5889174825.4869995,6596546195.65217,6413901601.83066,5966255778.12018,5444560669.45607,6465137614.6789,6934984709.480121,6891308593.75,7480968858.131491,7719354838.70968,4983024408.14828,5314909953.92992,6166330136.2948,7632406552.83803,8881368538.07671,10731634116.7384,20409668521.5494,24758819717.7074,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,63277216928.5093,53601126663.9079,49181854798.2552,55009730600.0307,58996776237.7603,12 Billion
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,1922600899.38433,2041538057.0288801,2384295763.7252803,2432029380.43686,2666616176.91609,3014890569.04099,3284625277.16186,3279063317.63475,3383218922.79336,3693753379.0599203,3869032270.91633,3783788551.0819,3588376057.0153604,3461282293.6462398,2995360969.1619897,2833442750.43639,2949637039.04424,3446442218.8982897,3666349049.42641,2937071767.25576,4220019227.96795,6281917559.68433,6964179254.97388,6716904635.187329,6853467936.39129,6785137222.16956,7638045248.45942,8376613796.934259,8778473640.90839,8794202409.5678,8694360304.563671,10472514514.62,5 Billion
GMB,,,,,,,44212353.6988296,46695363.1558873,41160658.570537105,45168722.699563205,52296836.749388,55728608.974983,59161544.9957528,75187969.924812,95797533.46192059,115182522.12389399,112189468.481826,138094243.349324,171836793.402695,207114382.546071,241080708.89018,218764445.784343,216051495.959817,213446562.57106,177338801.93075,225724851.69110698,185646209.386282,220626484.224811,266673126.22980097,284119692.49433,317083373.52455896,690314321.374999,714255460.503389,755042548.055824,746491692.583857,785996982.492168,848237108.56163,803630742.53446,840285264.6315451,814723460.08372,782915402.421095,687408804.6305269,578236035.104279,487038821.611959,578785951.428733,624173239.919651,655070067.733924,798885556.457903,965781078.2069539,900639534.0108991,951806368.6991289,898290989.936018,910026155.731035,1367041584.9639199,1259063629.83287,1394149615.0246801,1442298542.4400802,1489464787.57415,531 Million
GNB,,,,,,,,,,,78733594.84118521,78540057.1372471,87702828.5651641,89374237.2881356,98775328.94736841,108985740.155434,112386489.005677,114971207.20538402,122666858.789625,118537875.13304399,110653830.72270401,154731969.69697,165523634.503718,163577538.326314,138478900.628609,143856253.127248,130225018.751151,173836362.010677,164458120.314176,213143016.44331598,243961995.509785,257150374.069711,226313443.749086,236880821.65638798,235620043.500927,253966922.278198,270419779.418107,268550998.21919703,206457544.49770302,224446663.800548,370173838.651652,392278168.19989705,415843481.998691,476388260.63923204,531109356.165462,586795675.416201,591839470.665059,695990208.376629,864654795.287148,826798659.766283,849050127.504407,1098379391.95039,989327811.785114,1045790132.98518,1053512334.17271,1047808175.0005699,1178204501.38801,1346841897.00437,403 Million
GNQ,,,9122751.45318345,10840095.1283649,12712471.3960211,64748333.3333333,69110000.0,72317446.9327193,67514285.7142857,67225714.2857143,66331428.571428604,64946954.756798,65429198.238708,81203226.9138345,94159862.70736909,104295643.388437,103653049.93797,103987520.075827,,,50642880.7737503,36731422.8456914,44294647.733479,44442456.94764,50320914.406568795,62118564.849542506,76407396.75529641,93345847.7270323,100534663.294927,88265974.5843603,112119406.548331,110906032.075075,134707184.355541,136047896.155778,100807001.813926,141853368.256815,232463036.43575898,442337849.474377,370687618.717326,621117885.668503,1045998496.4387199,1461139022.02954,1806742742.2731102,2484745935.09329,4410764338.66733,8217369092.652241,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16298542027.9965,21329395900.871002,22389626329.3369,21942597765.3631,21736500712.9638,13180195435.1132,11260900825.8233,12293579173.2134,4 Billion
GRC,4446528164.67559,5016048786.22753,5327573509.09843,5949478034.88751,6680298250.57961,7600579093.1158,8455611129.27936,9136711287.82434,9915140546.35072,11266091570.5718,13139862500.0,14591755681.8182,16885506818.1818,22347844649.0219,25351305681.8182,28525872476.0893,31152840485.0746,36176233117.4838,44270203153.9889,54481875804.9678,56829663469.2246,52346507380.0738,54617991326.5306,49428872678.0186,48020024788.3918,47820850974.5867,56379593719.5716,65652751132.3603,76261278404.9964,79169043642.4675,97891090928.6328,105143232379.884,116224673042.54599,108809058858.502,116601802106.74199,136878366230.328,145861612825.595,143157600024.959,144428172835.236,142540728958.023,130133845771.144,136191353467.562,153830947016.751,201924270316.02698,240521260988.32898,247783001865.44,273317737046.795,318497936901.177,354460802548.704,330000252153.37604,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,195541761243.14398,192690813126.86,200288277129.038,112 Billion
GRD,,,,,,,,,,,,,,,,,,71494495.18518521,88322386.2962963,102244362.222222,110900457.03703701,115651918.88888898,125435590.0,131803552.222222,145533310.74074098,167728455.18518502,187589522.59259298,215009569.62963,236357523.703704,267327642.22222203,278098762.962963,300757888.888889,310160444.444444,309812185.185185,325111814.814815,342172518.518519,366911444.444444,392190592.592593,445903592.59259295,482009370.37037003,520044370.37037003,520444185.18518496,540336925.925926,591018407.407407,599118592.592593,695370296.296296,698700666.666667,758683592.592593,825976037.037037,771275555.555555,771013259.259259,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061631222.22222,1126882296.2963,471 Million
GRL,,,,,,,,,,,69520026.6666667,88570952.8688524,106101175.65798001,140153748.243656,169918948.629182,211194305.702999,240780413.56493,282269373.001066,355989047.256374,420642463.409998,476055288.418886,435746974.75924397,402405069.367769,416183706.943685,379371608.442925,412876071.118493,603015696.452849,787392365.831908,898611007.947709,929796722.3878961,1018970364.8644301,1016493394.8253,1037921836.9477,927219728.8668859,1005879948.43254,1208946165.92889,1197509786.6763198,1072147778.03013,1149862702.96084,1131561595.13775,1068030829.7559099,1086172922.57413,1169138789.31435,1558768614.23562,1825157316.68642,1849805732.9620302,2013099482.07439,2249811708.9479604,2499107510.64122,2529948329.57153,2503156060.52524,2684467375.71479,2609667673.71601,2669515517.33348,2837737193.76392,2520206899.62693,2705898955.6872697,,1 Billion
GTM,1043599900.0,1076699900.0,1143600000.0,1262800000.0,1299099900.0,1331399900.0,1390700000.0,1453500000.0,1610500000.0,1715399900.0,1904000000.0,1984800000.0,2101300000.0,2569200100.0,3161499900.0,3645900000.0,4365300200.0,5480500200.0,6070600200.0,6902600200.0,7878700000.0,8607500300.0,8716999700.0,9050000400.0,9470000100.0,9721652086.95652,7231963515.9817295,7084399840.0,7841602824.42748,8410724360.79546,7650125217.35253,9406097735.091171,10440842165.3193,11399942453.0646,12983235568.2292,14655404433.2771,15674835615.3139,17790026221.6139,19395491992.9939,18318412251.3642,19288827158.9035,18702802783.7199,20776669472.9846,21917706484.5071,23965275999.6426,27211377220.0677,30231249362.2057,34113107084.9436,39136954237.8479,37734072275.5946,41338521642.0274,47654783850.6388,50388460920.182,53851148431.932,58722323918.1604,63767597193.9175,68663653469.1246,75620095537.5005,17 Billion
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385000000.0,3560000000.0,3857000000.0,4197000000.0,4213000000.0,4375000000.0,4621000000.0,4781000000.0,4895000000.0,4928000000.0,5199000000.0,5336000000.0,5538000000.0,5710000000.0,5793000000.0,5859000000.0,5 Billion
GUY,170215248.206265,185848451.26290601,194948375.43020502,175756868.692761,194773376.888526,213235294.117647,228705882.352941,250176470.58823502,229750000.0,249300000.0,267800000.0,282050000.0,285380952.380952,307047619.047619,433954545.454545,494791666.666667,454440000.0,449880000.0,507080000.0,530440000.0,603200000.0,570357107.1428571,482000000.0,489333333.333333,437631605.263158,453488372.09302306,504651139.534884,354591846.938775,413799990.0,379779389.70588195,396582263.291139,348533094.81216496,373573141.486811,454101382.488479,540874934.201012,621626785.915493,705406001.424501,749138009.56454,717530683.169567,694754988.258295,712667896.727512,712167575.624277,726131434.715338,743064076.794567,787814379.183843,824880550.343965,1458453715.32702,1740180444.25731,1916996251.5953898,2061324145.62393,2273224261.15644,2576024015.5869,2861560060.9322,2987684143.4665604,3077643261.39312,3197222215.01211,3504024213.0750604,3621046004.8426204,900 Million
HIC,1083658397526.31,1146798375494.15,1238581036274.07,1324416133415.63,1452569358370.43,1577698830237.04,1727595157436.32,1845632289609.08,1999935604971.81,2197771845650.05,2415762958458.53,2679694240595.66,3105355724326.89,3767681631685.76,4265071552564.29,4726716285443.08,5142677788456.17,5822122582844.9,6962184360389.97,8052421888517.46,8993574790689.61,9131811345964.77,9053685545832.12,9370958336997.14,9741537339545.74,10235782118108.0,12431294359392.1,14392752614179.2,16211823065419.7,16904726672616.1,19053933456718.3,20205793103193.8,21768917967074.7,21951103451707.9,23545297336525.9,26118961974660.9,26365448977384.8,25960509633751.5,26054913314035.3,27338278095149.2,27898295102220.8,27616573016183.4,28605096789275.3,32091194820882.0,35744926450769.6,37827853038361.5,39949133760337.7,43700451358166.6,46482022304640.3,43561058823053.3,45719294230837.4,49412353685145.0,49466770010251.3,50012863581974.3,51049656922114.4,48319656623607.1,49281339920674.9,51479366306874.8,20 Trillion
HKG,1320796651.6945698,1383681651.13776,1612346412.26475,1935298266.4538398,2206466461.26434,2435078534.03141,2489845016.6489396,2692474989.12571,2716964388.42418,3189740055.13982,3800766535.6208797,4476001946.01486,5710107420.14394,8030117555.62033,9388663645.7588,10048022369.9141,12876366008.8077,15719433719.4337,18315007365.9713,22526035940.5921,28861759209.0191,31055409443.043,32291306281.8168,29907091339.5364,33511383985.6741,35699543050.7778,41075570591.9291,50622571586.1149,59707404560.5944,68790369107.2962,76928290841.8701,88959620135.8864,104272278634.731,120353947980.764,135812069768.646,144652912433.103,159717233621.659,177352785419.977,168886163221.567,165768095391.557,171668164082.555,169403241524.337,166349228737.386,161384522525.299,169099768875.193,181570082162.19,193536265094.36398,211597405593.868,219279678430.16397,214046415026.18698,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.56104,320881182123.855,341449340450.649,104 Billion
HND,335650000.0,356200000.0,387750000.0,410200000.0,457000000.0,508650000.0,549950000.0,598100000.0,646800000.0,668000050.0,723000000.0,731000000.0,802999950.0,912499950.0,1034500000.0,1124000000.0,1347999950.0,1669499950.0,3097242093.22441,3544281976.29198,3968160045.98684,4043894878.58005,4266503525.6105103,4476697184.85981,4915311846.488271,5278120712.5459,5677828958.90605,6190521241.46495,5902717091.54747,5432344901.77821,4923009551.51561,4648668470.21773,4943700428.076611,4926728938.868279,4642280683.36987,5347445007.51309,5215028987.88041,5737099646.39063,6366340267.741079,6414520531.64718,7103507989.050441,7565869927.73763,7775078402.92785,8140271080.5604,8772194250.27021,9672035709.39793,10841742347.7968,12275501784.2971,13789715132.501999,14587496229.1811,15839344591.9842,17710315005.9999,18528601901.323997,18499710127.8385,19756494434.7031,20979767785.2104,21643936938.9096,22978532896.7816,7 Billion
