Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band
Mara,India,IND,Definitely endangered,22000.0,23.5237,92.9003,4.184796296296296,28.0,57.13,Moderate Proficiency
Maring,India,IND,Vulnerable,22000.0,24.6769,94.3835,4.184796296296296,28.0,57.13,Moderate Proficiency
Bangni,India,IND,Vulnerable,20000.0,28.0331,93.0651,4.184796296296296,28.0,57.13,Moderate Proficiency
Khoirao,India,IND,Vulnerable,20000.0,25.2198,94.1583,4.184796296296296,28.0,57.13,Moderate Proficiency
Manchad,India,IND,Vulnerable,20000.0,32.6578,77.5415,4.184796296296296,28.0,57.13,Moderate Proficiency
Padam,India,IND,Vulnerable,20000.0,28.2463,95.3668,4.184796296296296,28.0,57.13,Moderate Proficiency
Biete,India,IND,Definitely endangered,19000.0,25.6514,93.2409,4.184796296296296,28.0,57.13,Moderate Proficiency
Hrangkhol,India,IND,Vulnerable,19000.0,24.1467,92.3071,4.184796296296296,28.0,57.13,Moderate Proficiency
Pochuri,India,IND,Vulnerable,17000.0,25.6712,94.779,4.184796296296296,28.0,57.13,Moderate Proficiency
Koraga,India,IND,Critically endangered,16665.0,11.6952,75.6738,4.184796296296296,28.0,57.13,Moderate Proficiency
Pangvali,India,IND,Critically endangered,16285.0,33.4589,76.9152,4.184796296296296,28.0,57.13,Moderate Proficiency
Gangte,India,IND,Definitely endangered,15000.0,24.1968,93.587,4.184796296296296,28.0,57.13,Moderate Proficiency
Nahali,India,IND,Definitely endangered,15000.0,21.4735,74.0258,4.184796296296296,28.0,57.13,Moderate Proficiency
Kuruba,India,IND,Critically endangered,14613.0,11.4369,76.3549,4.184796296296296,28.0,57.13,Moderate Proficiency
Khampti,India,IND,Vulnerable,13000.0,27.8827,96.5093,4.184796296296296,28.0,57.13,Moderate Proficiency
Bangani,India,IND,Critically endangered,12000.0,29.8692,79.0686,4.184796296296296,28.0,57.13,Moderate Proficiency
Hill Miri,India,IND,Definitely endangered,12000.0,27.7078,94.0374,4.184796296296296,28.0,57.13,Moderate Proficiency
Lamgang,India,IND,Critically endangered,10000.0,24.2569,94.0759,4.184796296296296,28.0,57.13,Moderate Proficiency
Muot,India,IND,Critically endangered,10000.0,8.0932,93.4963,4.184796296296296,28.0,57.13,Moderate Proficiency
Naiki,India,IND,Critically endangered,10000.0,19.8287,78.2281,4.184796296296296,28.0,57.13,Moderate Proficiency
Rongpo,India,IND,Vulnerable,8000.0,30.7229,79.7387,4.184796296296296,28.0,57.13,Moderate Proficiency
Asur,India,IND,Definitely endangered,7000.0,22.4719,84.9023,4.184796296296296,28.0,57.13,Moderate Proficiency
Gorum,India,IND,Definitely endangered,5000.0,18.667,83.0346,4.184796296296296,28.0,57.13,Moderate Proficiency
Kom,India,IND,Definitely endangered,5000.0,24.0414,93.6639,4.184796296296296,28.0,57.13,Moderate Proficiency
Miji,India,IND,Definitely endangered,5000.0,27.3351,92.5735,4.184796296296296,28.0,57.13,Moderate Proficiency
Pu,India,IND,Critically endangered,5000.0,8.2549,93.1022,4.184796296296296,28.0,57.13,Moderate Proficiency
Singpho,India,IND,Definitely endangered,5000.0,27.5569,96.7456,4.184796296296296,28.0,57.13,Moderate Proficiency
Turi,India,IND,Definitely endangered,5000.0,21.8411,87.2973,4.184796296296296,28.0,57.13,Moderate Proficiency
Aka,"India, Sudan",IND,Definitely endangered,4000.0,27.1666,92.6312,4.184796296296296,28.0,57.13,Moderate Proficiency
Bunan,India,IND,Definitely endangered,4000.0,32.7503,76.2451,4.184796296296296,28.0,57.13,Moderate Proficiency
Baghati,India,IND,Critically endangered,3976.0,31.194000000000003,77.0471,4.184796296296296,28.0,57.13,Moderate Proficiency
Bharmauri,India,IND,Definitely endangered,3976.0,32.4912,76.8383,4.184796296296296,28.0,57.13,Moderate Proficiency
Moyon,India,IND,Definitely endangered,3700.0,24.4171,94.37799999999999,4.184796296296296,28.0,57.13,Moderate Proficiency
Brokshat,India,IND,Definitely endangered,3000.0,34.6478,76.4978,4.184796296296296,28.0,57.13,Moderate Proficiency
Geta?,India,IND,Severely endangered,3000.0,18.2293,82.727,4.184796296296296,28.0,57.13,Moderate Proficiency
Sherdukpen,India,IND,Vulnerable,3000.0,27.1935,92.351,4.184796296296296,28.0,57.13,Moderate Proficiency
Takahanyilang,India,IND,Critically endangered,3000.0,6.85,93.8726,4.184796296296296,28.0,57.13,Moderate Proficiency
Aimol,India,IND,Critically endangered,2643.0,24.4971,93.6145,4.184796296296296,28.0,57.13,Moderate Proficiency
